region,ages,year,population
WY,total,2007,534876
KY,under18,1996,987062
HI,under18,2012,305981
WY,under18,2002,125495
MN,total,2012,5379646
OR,under18,2005,849323
KS,under18,2001,710923
IA,under18,2013,724032
AR,total,1994,2494019
CA,under18,2005,9405565
SC,under18,2001,1016134
CT,under18,2000,842242
DE,under18,1991,169910
CO,under18,1991,896537
AK,total,1993,599434
PA,total,2001,12298970
CA,under18,1996,9079519
CT,under18,2008,826626
NV,under18,1999,493701
NJ,total,2002,8552643
TX,total,1993,18161612
MI,under18,1996,2569745
MO,total,2007,5887612
DE,total,1995,729735
AR,under18,2013,709866
WI,total,2013,5742713
CO,total,2011,5118400
PR,total,2000,3810605
WA,under18,2012,1588451
NV,under18,2003,568963
PA,total,1993,12119724
SD,total,2006,783033
OR,total,1993,3060367
CO,total,2003,4528732
OR,under18,1997,830002
DC,under18,2007,104126
VA,under18,2008,1838361
KY,total,2007,4256672
MS,total,2004,2889010
NV,total,2007,2601072
AK,under18,2005,185304
IN,total,2004,6233007
FL,under18,2011,4002550
VT,under18,2010,128601
WV,under18,2013,381678
CO,total,1997,4018293
HI,under18,1992,295124
NE,total,2001,1719836
ID,under18,1992,324972
VA,total,1999,7000174
NH,total,1996,1174719
KS,total,2000,2693681
WY,total,2006,522667
USA,total,1997,272646932
PR,under18,2010,896945
TN,total,1994,5231438
KY,total,2001,4068132
NV,total,2013,2790136
MT,under18,1995,236583
FL,total,2001,16356966
OK,under18,2008,910617
GA,under18,1992,1817781
DC,under18,2010,101309
MO,under18,2006,1428324
MA,total,2006,6410084
USA,under18,2009,74134167
CO,total,2001,4425687
DE,total,1998,763335
IN,total,2013,6570902
CT,total,2011,3588948
NH,under18,2011,280486
NE,total,2006,1772693
CO,total,2008,4889730
NJ,total,1998,8287418
MD,under18,1990,1180426
TN,total,2003,5847812
IN,total,2002,6155967
CT,total,2006,3517460
MT,under18,1996,235294
TN,under18,2000,1399685
FL,total,2004,17415318
USA,under18,2004,73297735
CO,under18,2001,1126647
GA,under18,1990,1747363
ME,under18,2000,301407
AL,under18,2013,1111481
VA,under18,1998,1706261
KY,total,1992,3765469
NJ,total,1990,7762963
PA,total,2008,12612285
SC,under18,2004,1029111
LA,total,2004,4552238
MS,total,1998,2804834
PR,under18,2005,1019447
AL,under18,2008,1134927
DC,total,2013,646449
GA,under18,2007,2456249
NM,under18,1991,461811
IN,under18,2011,1598091
ID,total,2010,1570718
TN,under18,2005,1449326
FL,total,2005,17842038
AZ,total,1999,5023823
SD,under18,2000,202681
NH,total,2013,1323459
OR,under18,2004,846786
DE,total,2012,917053
KS,total,1996,2614554
VA,total,2012,8186628
DE,total,1993,706378
NE,under18,2008,453787
MD,under18,1998,1338727
NV,total,1998,1853192
VT,total,1996,593701
FL,total,1990,13033307
NH,under18,2008,296029
KY,under18,2002,995251
OK,total,1998,3405194
VT,total,2003,617858
ME,under18,2013,261276
KS,under18,2002,709416
VA,total,1997,6829183
LA,under18,2011,1116579
CA,under18,2000,9267089
NJ,under18,2003,2126014
AR,under18,2006,697842
AR,total,2009,2896843
KY,total,2004,4146101
NM,total,1999,1808082
SC,under18,1998,1006371
RI,under18,2008,229798
NC,total,2006,8917270
NE,total,2000,1713820
ID,total,2002,1340372
SD,under18,2013,207959
RI,total,1994,1015960
MS,under18,2002,763148
OH,total,1997,11277357
OK,total,1995,3308208
ME,total,1994,1242662
ME,under18,2007,286185
DC,under18,1991,116825
CO,total,2013,5268367
MN,under18,2009,1284103
MS,total,2012,2986450
NJ,total,1996,8149596
KY,under18,2006,1011295
USA,total,1993,259918595
AK,under18,1997,188280
AZ,total,1998,4883342
AR,total,1997,2601091
NH,under18,1993,290409
OH,under18,2000,2886585
NY,total,2007,19132335
CO,under18,1992,925577
NC,total,1995,7344674
CT,under18,1996,811855
OH,under18,2001,2878123
NM,total,1994,1682398
SC,under18,2002,1020531
RI,total,1992,1012581
TN,under18,2002,1414857
MN,under18,2003,1283687
MI,total,2002,10015710
KY,total,2012,4379730
PA,under18,1999,2930193
ND,under18,2012,156765
PA,under18,2012,2737905
KS,total,1990,2481349
SC,total,2000,4024223
WA,under18,1993,1387716
WA,total,2002,6052349
VT,under18,2011,126500
NC,total,1992,6897214
KS,total,2004,2734373
AK,total,2006,675302
USA,total,2005,295516599
AK,under18,2011,188329
MT,under18,2008,223814
DC,under18,1992,118636
MI,total,1997,9809051
NV,under18,1991,325033
AZ,under18,2010,1628563
OH,total,2005,11463320
PR,under18,1993,NaN
TX,under18,2002,6060372
IL,total,1991,11568964
MI,total,1992,9479065
USA,under18,2013,73585872
AR,total,2012,2949828
DC,total,2011,619624
AK,under18,1994,187439
AL,total,1997,4367935
VT,total,1994,583836
PR,total,2009,3740410
MO,under18,2004,1420956
TN,under18,2012,1492689
WI,total,2002,5445162
MS,under18,2005,760870
HI,total,1997,1211640
ID,total,1990,1012384
ND,total,2004,644705
ME,under18,2005,292039
GA,total,2011,9810181
USA,total,1996,269394291
DE,under18,2005,201988
OH,under18,2010,2722589
KY,under18,2004,998459
PA,under18,1995,2941531
DC,total,2004,567754
KY,total,2000,4049021
MO,total,2005,5790300
RI,under18,2002,248690
USA,total,2004,292805298
CO,total,1995,3826653
ND,total,2005,646089
USA,total,2000,282162411
SC,total,2003,4150297
MN,total,2011,5347108
CA,under18,1990,7980501
IL,total,1997,12185715
MD,total,1997,5157328
WA,total,2000,5910512
IL,total,2001,12488445
SC,total,2010,4636361
ME,total,1991,1237081
MI,under18,1993,2522249
NJ,under18,1997,2028349
IN,total,2005,6278616
NM,under18,1994,497542
UT,under18,2002,733517
NY,under18,1999,4672587
UT,under18,2003,740483
VT,under18,2002,144441
CT,under18,2002,848877
IN,total,2011,6516336
MN,total,2002,5018935
KY,under18,1994,981439
FL,total,2009,18652644
NE,total,1995,1656993
CA,under18,2008,9321621
CT,under18,1990,752666
NM,total,1993,1636453
ID,total,2004,1391802
WA,total,2006,6370753
VA,under18,1991,1548258
AZ,under18,1992,1055572
MO,total,1992,5217101
NH,total,2002,1269089
CT,total,1990,3291967
DC,total,2003,568502
VA,total,1991,6301217
UT,total,2012,2854871
FL,under18,1994,3299887
DC,under18,2012,107642
OH,under18,2006,2804828
VT,total,1995,589003
ND,under18,2011,152357
MN,total,1994,4610355
MT,total,2003,919630
MT,total,2011,997600
IN,under18,1997,1539270
AK,under18,2002,188482
HI,under18,1995,310325
VA,under18,2012,1861323
NY,total,2001,19082838
AL,total,2003,4503491
TN,under18,2013,1491577
NH,total,2001,1255517
NC,under18,1998,1894753
NY,total,1999,18882725
RI,under18,1990,225923
VA,total,2009,7925937
GA,under18,2004,2308855
NJ,total,2011,8836639
NE,total,2007,1783440
ND,under18,2002,153097
AZ,total,2004,5652404
CT,total,2004,3496094
MS,under18,1990,733660
LA,under18,1997,1239665
NC,total,2012,9748364
CT,under18,2005,844034
GA,under18,1997,2034163
WA,under18,1996,1449613
PR,under18,2000,1089063
CA,total,2009,36961229
CA,under18,2010,9284094
RI,total,2000,1050268
MI,under18,2010,2333121
ME,under18,2004,294791
MA,under18,1999,1495818
MI,total,2005,10051137
RI,total,2011,1050350
OK,total,2010,3759263
CA,under18,2001,9325466
ND,under18,2006,147331
AL,under18,1997,1122893
MO,under18,1994,1378700
MN,under18,2013,1279111
DE,total,1991,683080
NV,under18,2006,634403
NM,under18,2011,516513
DC,total,1990,605321
IL,under18,2004,3211599
NJ,total,2007,8677885
ID,under18,2003,379241
SD,under18,1993,207975
SD,total,2010,816211
OR,total,2008,3768748
FL,under18,1991,3045638
NJ,under18,1994,1968232
DE,under18,1995,181736
SD,total,1991,703669
AR,under18,2002,678798
OR,under18,2010,865129
IN,under18,1998,1551960
CO,total,1992,3495939
RI,total,2006,1063096
WI,total,1995,5184836
KS,total,2002,2713535
VA,total,2007,7751000
MS,total,2002,2858681
IL,under18,2005,3197318
PR,under18,2003,1050615
KS,total,1999,2678338
KY,total,1996,3919536
MS,under18,1995,767892
USA,under18,2006,73757714
MS,under18,1994,763795
CO,under18,1994,966412
VA,under18,1990,1520670
KY,under18,1992,963861
MD,under18,2011,1348766
WA,total,1991,5025624
MT,under18,2000,230067
IN,total,1990,5557798
NH,total,1999,1222015
OR,under18,2000,847511
MA,total,2007,6431559
IA,total,2000,2929067
IA,total,2008,3016734
TX,total,2007,23831983
CT,under18,1995,808623
VT,total,2009,624817
SD,under18,2006,197332
MD,total,2010,5787193
WV,total,2006,1827912
NY,total,2000,19001780
MN,under18,2005,1280557
WV,total,1993,1817539
MT,total,2005,940102
MN,total,1991,4440859
AZ,total,1994,4245089
VT,under18,2000,147549
AK,under18,1996,185360
MT,total,1999,897508
USA,under18,1996,70233512
AL,under18,1991,1060794
VT,total,1992,572751
NY,under18,2005,4514456
OR,total,2000,3429708
IA,total,2004,2953635
VA,under18,2000,1741420
KS,under18,2007,711005
AK,total,1998,619933
WY,total,2008,546043
DC,under18,1999,115003
WV,total,2011,1855184
MI,total,2009,9901591
IL,total,2007,12695866
USA,under18,1998,71431406
MN,total,1995,4660180
AK,under18,1995,184990
FL,under18,1993,3214066
CO,total,2006,4720423
LA,under18,1993,1239161
IL,total,2000,12434161
USA,under18,1991,65313018
MA,total,1997,6226058
WI,under18,1995,1351343
CA,under18,1997,9135359
MI,under18,2000,2596114
IN,under18,2004,1586281
WV,total,2003,1812295
AZ,under18,1993,1094233
NC,under18,2000,1967626
NC,total,2008,9309449
VA,total,1993,6509630
AZ,under18,2004,1484454
NY,total,2005,19132610
USA,under18,2010,74119556
CO,under18,2002,1138273
LA,under18,1995,1250112
NC,total,1994,7187398
SC,under18,1990,921041
FL,under18,1997,3502269
NM,under18,1992,473176
NM,under18,2006,505125
NH,total,1991,1109929
MO,total,2012,6024522
MA,total,1990,6022639
CO,under18,2010,1226619
MA,under18,2008,1429727
WA,under18,2009,1574403
FL,total,1998,15486559
SC,total,2004,4210921
MN,total,2008,5247018
KS,under18,1993,687262
MT,under18,1998,231746
WA,under18,1999,1507824
WI,under18,2003,1358505
AL,under18,2003,1113083
MA,total,1998,6271838
CO,total,1994,3724168
WV,total,2001,1801481
MS,total,1990,2578897
RI,total,2012,1050304
ME,total,2009,1329590
NE,total,2011,1841749
AR,under18,1991,626212
ND,under18,1999,163056
MI,total,2001,9991120
MT,under18,2006,221930
DC,under18,2005,107187
NH,under18,1992,286314
TX,under18,1991,5000793
OK,under18,2006,894761
WI,total,1994,5133678
NC,total,1993,7042818
TX,total,2001,21319622
FL,total,2002,16689370
TN,under18,2004,1433343
NE,total,2004,1749370
NC,total,2011,9651377
DC,total,2010,605125
ME,total,2004,1313688
OR,total,1991,2928507
MD,under18,2006,1377756
MA,under18,1994,1437069
HI,total,2012,1390090
TX,total,1996,19340342
NE,under18,2011,460872
NV,total,1991,1296172
MT,under18,1997,232813
PA,under18,2009,2804929
OK,total,2007,3634349
IA,under18,2000,733337
NY,under18,2003,4619506
WI,total,1997,5266213
MI,under18,1995,2556799
WV,under18,1994,429128
AR,total,2003,2724816
MT,total,2008,976415
HI,total,1992,1158613
WV,total,1999,1811799
RI,total,2005,1067916
MD,under18,2001,1366552
LA,under18,2012,1114620
PR,under18,1991,NaN
WV,total,1997,1819113
OK,under18,2001,885218
DE,under18,2009,206213
ID,total,2005,1428241
ME,under18,2009,277946
WY,under18,2000,128774
WV,under18,2009,389036
CT,under18,2010,814187
NY,under18,1995,4648419
OH,total,2009,11528896
USA,total,1992,256514231
AR,total,2002,2705927
CO,under18,2006,1171832
NE,total,2010,1829838
WY,under18,1995,136785
MA,under18,2007,1439757
MI,under18,2004,2553314
MN,total,2006,5163555
OR,under18,1999,843484
SC,total,2012,4723417
DE,under18,1996,184021
USA,under18,2001,72671175
WY,total,1997,489452
MO,under18,2013,1397685
FL,under18,2000,3654880
WY,under18,1994,137733
VA,total,1992,6414307
TN,total,2002,5795918
DC,under18,2002,113822
IL,under18,2008,3153401
NJ,under18,1998,2042080
AK,under18,1992,184878
NM,total,1990,1521574
NH,total,2006,1308389
TX,under18,2004,6208259
IN,total,1992,5674547
UT,under18,2011,881350
RI,total,2003,1071342
ME,total,2000,1277072
DC,total,1998,565232
OK,total,1992,3220517
DC,total,1992,597567
LA,total,2003,4521042
WY,total,2009,559851
MO,under18,2007,1431346
UT,total,2006,2525507
OR,total,1997,3304310
MS,under18,2011,747742
IN,total,1998,5998881
KS,under18,2006,705277
MD,total,2009,5730388
VT,total,2000,609618
AR,under18,2001,679606
AL,under18,2012,1117489
PA,under18,1998,2940285
AZ,total,2013,6626624
NJ,under18,2002,2116591
ME,under18,1992,310679
AL,total,1998,4404701
MD,under18,1999,1348659
OR,under18,2002,850733
MI,total,1999,9897116
CA,under18,1992,8439647
ID,under18,2012,427177
AR,total,2008,2874554
PR,total,1990,NaN
WY,under18,2011,135407
SD,total,2003,763729
OR,total,1998,3352449
AZ,under18,1991,1028285
ME,total,1997,1254774
IA,under18,2005,718488
SD,under18,2012,205298
CO,under18,2007,1189434
NV,total,1999,1934718
CT,total,1991,3302895
ID,total,1995,1177322
AR,under18,2004,683166
SC,total,2009,4589872
NE,under18,2005,448918
IL,total,2008,12747038
MO,total,2001,5641142
IA,total,2003,2941999
ID,under18,2004,384692
NE,under18,2009,456543
DC,under18,1996,121210
RI,under18,1992,232630
AZ,total,2006,6029141
VA,under18,2005,1816270
MO,under18,2010,1424042
MS,total,1992,2623734
WI,under18,1994,1348110
MO,under18,1998,1428999
KY,total,1990,3694048
WY,under18,2005,124022
OH,under18,1991,2806959
TX,total,1997,19740317
LA,total,2007,4375581
MA,total,1995,6141445
AL,total,1995,4296800
CA,total,1995,31696582
IN,under18,1990,1437209
KY,under18,1998,997296
NH,total,2011,1318075
IN,total,1999,6044970
WY,total,2012,576626
CO,under18,2009,1217213
DE,total,2001,795699
MN,total,2013,5420380
USA,total,2002,287625193
TX,total,2000,20944499
ND,under18,1996,169257
WI,under18,1990,1302869
NH,total,2005,1298492
NJ,under18,2007,2091023
VA,total,2000,7105817
MT,under18,2013,223981
MS,under18,1997,774832
AL,under18,1995,1110553
WY,total,1990,453690
AL,total,1990,4050055
HI,total,1994,1187536
ND,under18,1994,172160
AK,total,2008,687455
OR,under18,2003,850251
AZ,under18,2011,1616353
CA,under18,1998,9163238
ID,under18,1997,357779
OR,under18,1993,778973
RI,total,1993,1015113
OR,under18,2006,857003
IN,under18,1991,1450759
TX,under18,2003,6132980
SC,total,1994,3705397
WV,under18,1998,412793
UT,under18,2000,721686
OH,under18,2012,2668125
KS,under18,2005,704689
MS,under18,1992,750224
OK,total,1994,3280940
CO,under18,1993,947806
WY,under18,2013,137679
FL,under18,2013,4026674
HI,total,2001,1225948
PA,total,2002,12331031
TN,total,2011,6398361
NH,total,2009,1316102
NM,under18,2010,518763
MI,total,2008,9946889
AL,under18,1992,1072873
PR,total,2005,3821362
MD,total,1990,4799770
WA,under18,2000,1516361
CT,under18,2006,839372
UT,under18,1995,679636
HI,total,1991,1136754
MS,under18,2006,756990
PR,total,1993,NaN
GA,total,1994,7157165
NY,total,2008,19212436
DC,total,1996,572379
MD,under18,1996,1303816
UT,under18,2001,726819
IL,under18,2011,3089833
CA,under18,2004,9418497
RI,under18,1996,240569
VT,under18,1994,150794
MD,total,2004,5546935
WI,under18,1993,1337334
PA,under18,2003,2883270
RI,total,1996,1020893
VT,total,2007,623481
LA,total,1990,4221532
NV,under18,2007,654053
OK,under18,2003,883959
MO,total,2003,5709403
WI,under18,2000,1370440
ME,under18,2001,300088
ME,total,1999,1266808
WY,total,2005,514157
AR,total,1990,2356586
ND,total,1998,647532
KY,total,1999,4018053
IA,under18,2011,725522
TN,under18,1993,1285044
CO,under18,1995,984310
NJ,under18,2013,2022117
NY,under18,2001,4672425
IA,under18,2012,723917
VT,total,1999,604683
MN,under18,2004,1281946
TX,under18,1990,4906220
DE,total,2003,818003
ID,under18,1990,313373
MN,under18,2007,1285074
VA,under18,2010,1855025
WY,total,2000,494300
MT,under18,1999,231133
HI,under18,1998,304576
TX,total,2004,22394023
SD,under18,2010,203145
WY,under18,2001,126212
AL,total,2000,4452173
LA,total,2005,4576628
IL,total,2012,12868192
CT,under18,1994,801231
AK,total,2003,648414
NC,under18,1991,1640394
NY,total,2006,19104631
MI,under18,1999,2591944
AZ,under18,2005,1529168
OR,under18,2013,857606
MT,total,1996,886254
SD,under18,1997,205978
AZ,under18,2007,1607895
CA,under18,2007,9335620
OH,under18,2008,2768968
MT,total,1993,844761
HI,total,1995,1196854
KY,total,2003,4117170
SC,under18,2006,1050042
TN,total,1993,5137584
WV,under18,1999,406784
CA,total,2013,38332521
NE,under18,1999,451047
WY,under18,1996,135698
CO,total,2005,4631888
LA,under18,2005,1177954
WV,under18,1992,433116
RI,under18,1998,241760
ID,under18,2001,373145
IN,under18,1992,1461650
NV,total,2008,2653630
USA,total,1991,252980942
OR,total,2001,3467937
OK,total,2012,3815780
HI,total,2006,1309731
AZ,total,1996,4586940
DC,total,2000,572046
ME,total,2003,1306513
PR,total,2013,3615086
AZ,total,2003,5510364
ID,under18,2005,394651
WI,total,2010,5689060
MD,under18,2007,1369563
OR,total,2009,3808600
NJ,under18,2000,2088885
TN,under18,1995,1331616
NC,under18,1996,1821506
OR,total,2012,3899801
PR,under18,1998,NaN
ID,under18,1991,316732
OR,under18,2007,862161
IN,total,2003,6196638
SC,total,2002,4107795
PA,under18,2002,2894935
NV,total,2002,2173791
OK,total,2000,3454365
WV,under18,2000,401062
TX,total,2005,22778123
NC,total,2001,8210122
DE,under18,1997,186607
PR,under18,2004,1035919
DE,under18,2011,204801
AL,under18,2000,1122273
LA,under18,2009,1114228
NE,total,1996,1673740
RI,under18,2005,241932
IA,total,1997,2891119
ME,under18,1996,307740
WI,total,1991,4964343
ND,total,1996,650382
LA,under18,2001,1204187
GA,total,1990,6512602
DE,under18,1999,192510
IN,under18,2002,1580814
SC,total,1992,3620464
ID,under18,2007,415024
DC,under18,2013,111474
SD,under18,2011,203948
IA,total,2001,2931997
NM,total,1997,1774839
UT,total,1990,1731223
OH,total,2011,11549772
SC,total,2006,4357847
NJ,under18,2009,2068684
USA,total,1994,263125826
AZ,total,2012,6551149
NV,under18,1993,354990
ND,total,2011,684867
SD,total,2008,799124
HI,total,2008,1332213
ME,under18,1993,310966
AL,total,2013,4833722
DE,under18,2004,199631
DE,total,2006,859268
OH,total,2008,11515391
AZ,under18,1998,1285794
OH,total,1996,11242827
HI,total,2011,1376897
UT,total,1992,1836799
SD,total,2012,834047
OK,total,1997,3372918
CO,under18,2008,1203289
AL,total,2010,4785570
MN,under18,1991,1191207
WA,total,1995,5481027
SD,under18,1996,205780
MA,under18,2012,1399417
KY,total,2010,4347698
MD,total,2007,5653408
OK,under18,1997,893835
KS,total,1994,2580513
RI,under18,1995,240553
UT,under18,2004,751771
VA,total,2013,8260405
ID,under18,1996,353824
SD,total,1996,742214
NH,total,1998,1205941
IA,total,1993,2836972
FL,total,1991,13369798
MT,total,2001,906961
MA,under18,2009,1422935
DC,total,1994,589240
MA,total,2010,6563263
NY,total,1993,18374954
VA,total,1994,6593139
WA,total,1992,5160757
GA,total,2005,8925922
TX,under18,2009,6792907
IA,under18,2008,725658
OH,total,1991,10945762
IN,total,1994,5793526
NJ,total,1997,8218808
MD,total,1995,5070033
SC,under18,2003,1023785
DE,total,2011,907985
MA,total,1993,6060569
MA,total,1996,6179756
IA,total,2009,3032870
IL,under18,2007,3170134
CO,under18,2011,1230178
WI,under18,2002,1365315
LA,total,2001,4477875
AK,under18,2010,187902
USA,under18,1995,69473140
USA,under18,2012,73708179
IA,under18,2006,721703
MO,under18,2001,1426575
NH,under18,2010,285702
VA,under18,2009,1845132
NC,under18,1997,1861621
DC,total,1993,595302
ME,under18,1998,304496
RI,under18,2001,248296
CT,under18,2009,820839
MD,under18,2000,1356961
WI,under18,1997,1359712
OK,total,2004,3525233
HI,under18,2002,293600
SD,total,1999,750413
IL,under18,2012,3057042
WA,under18,2005,1523890
MT,total,2012,1005494
CT,under18,1993,790749
MA,under18,1997,1478203
NY,under18,1993,4538171
CO,total,2004,4575013
IN,total,1996,5906013
KS,total,2008,2808076
WI,total,2005,5546166
OK,total,2011,3785534
LA,under18,1992,1237034
MO,under18,2005,1422978
KY,total,2005,4182742
NH,under18,1999,308423
ID,total,1993,1108768
CO,under18,2003,1144597
ND,under18,2013,162688
MN,total,2009,5281203
SD,under18,2003,197326
VT,under18,2008,132600
MA,under18,1993,1415724
KS,total,2013,2893957
NE,under18,2001,448307
HI,total,2004,1273569
IA,total,2012,3075039
TX,total,2009,24801761
NM,under18,2005,502612
VT,total,1993,577748
OH,under18,2003,2849573
HI,under18,2009,302796
NY,under18,1996,4667647
TN,under18,1998,1369987
IL,under18,1995,3152984
TX,total,2011,25640909
IA,under18,2007,723632
GA,under18,2006,2406014
TN,under18,1992,1259458
NH,under18,1994,295563
IL,under18,1991,2988715
CT,total,2005,3506956
NJ,under18,2006,2106403
NC,total,2010,9559533
CO,under18,1998,1060066
MT,total,2010,990527
SD,under18,1994,208443
MO,under18,2012,1405015
DC,under18,1998,113839
MA,under18,1998,1491652
ND,under18,1998,165448
NC,total,2000,8081614
IL,under18,1998,3225252
PA,total,2007,12563937
PR,under18,2002,1065051
KY,under18,2011,1021926
ND,total,2012,701345
ID,under18,2009,426076
AZ,total,1990,3684097
MT,total,2002,911667
UT,under18,1992,648725
OR,total,2007,3722417
PR,under18,1995,NaN
RI,total,2008,1055003
OH,under18,1993,2855785
UT,under18,1997,699528
AK,total,1996,608569
IN,under18,1995,1507916
SC,under18,1992,947868
ME,total,1998,1259127
DE,under18,2008,206116
SD,under18,2004,196804
MA,total,2012,6645303
UT,under18,1996,687078
KS,under18,2000,713887
VT,total,2013,626630
KS,under18,1995,694124
NJ,under18,1993,1928623
NC,total,2009,9449566
WV,total,1996,1822808
OK,total,2008,3668976
NV,total,1990,1220695
OK,under18,1999,895678
PR,under18,2009,920794
OH,total,2002,11407889
SD,total,1993,722160
HI,under18,1994,307517
AR,under18,2000,680378
GA,under18,1993,1865021
MI,under18,1998,2586343
MI,total,2003,10041152
NY,under18,1994,4605284
DC,total,2006,570681
MN,under18,2012,1278050
OK,under18,1990,841715
FL,total,1994,14239444
SD,total,1998,746059
SC,total,2005,4270150
SD,under18,1992,206632
IL,under18,1999,3240034
FL,total,2013,19552860
MD,total,2003,5496269
VA,total,1998,6900918
WV,total,2007,1834052
IL,total,1999,12359020
GA,under18,1994,1906539
SC,under18,2007,1064190
NC,total,1997,7656825
HI,total,2000,1213519
PA,total,1997,12227814
LA,total,2009,4491648
NM,total,2006,1962137
RI,total,1991,1010649
AR,under18,2011,710576
DE,under18,1990,165628
NE,total,2003,1738643
ID,total,2012,1595590
DC,total,2005,567136
KS,total,1991,2498722
PA,total,2000,12284173
MA,under18,2002,1502652
CT,total,2008,3545579
MO,under18,1993,1365903
USA,under18,1999,71946051
GA,total,2010,9713248
MI,under18,2008,2418879
MS,under18,1999,775662
